Reference Angle,Measured Angle,Measured Angle with Zero Correction,Angle Error,Angle Error Fitting,H1,H2,H3,H4,Ph1,Ph2,Ph3,Ph4,Number of points,Corrected Angle Cst + Slope,Angle Error after fit Cst + Slope,Corrected Angle Cst + Slope Lin Search,Angle Error after fit Cst + Slope Lin Search,Corrected Angle Fitted,Angle Error after Fit
30.5,323.457,323.957,4.29204,4.99179,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,318.996,4.96114,318.996,4.96114,318.996,4.96114
27.5,321.894,322.394,5.72844,4.95928,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,317.472,4.92144,317.472,4.92144,317.472,4.92144
24.5,320.169,320.669,7.00325,4.91594,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,315.791,4.87764,315.791,4.87764,315.791,4.87764
21.5,318.279,318.779,8.114,4.86033,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,313.95,4.82967,313.95,4.82967,313.95,4.82967
18.5,316.293,316.793,9.12713,4.7937,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,312.013,4.77923,312.013,4.77923,312.013,4.77922
15.5,313.549,314.049,9.38372,4.69004,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,309.367,4.68199,309.367,4.68199,309.367,4.68199
12.5,307.002,307.502,5.83687,4.40289,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,303.111,4.39132,303.111,4.39132,303.111,4.39132
9.5,297.869,298.369,-0.296825,3.95413,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,294.417,3.95125,294.417,3.95125,294.417,3.95125
6.5,295.275,295.775,0.109273,3.82275,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,291.954,3.82085,291.954,3.82085,291.954,3.82085
3.5,293.41,293.91,1.24498,3.72784,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,290.183,3.72713,290.183,3.72713,290.183,3.72713
0.5,291.597,292.097,2.43197,3.63518,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,288.463,3.63426,288.463,3.63426,288.463,3.63426
